,0
0,-0.03177599905945172
1,0.07857660949847455
2,-0.09761209162217205
3,0.0274291200377403
4,0.03744112426018342
5,0.06105265747735877
6,-0.06245039053898504
7,-0.03365271435073175
8,0.005462527203355158
9,-0.14450503752131727
10,-0.07751550354815859
11,-0.0686028578867417
12,-0.06379169612793842
13,0.10057770423064676
14,0.01104992818717276
15,-0.001099622889706358
16,-0.028484927406799088
17,0.037915200331988676
18,-0.07366310397258571
19,-0.10801540615812846
20,0.013658907769705698
21,0.04422491546089934
22,-0.013423232793533194
23,-0.024379681779407632
24,-0.08597096682028045
25,-0.026505342428624942
26,-0.037805999097612286
27,-0.11442263369435604
28,0.007292309519067356
29,0.06888138121461107
30,0.026815502299417593
31,-0.02172210797466901
32,-0.06765829182199848
33,-0.06337869304240124
34,-0.05780597888819148
35,-0.0052958898499363485
36,-0.004414631410053588
37,-0.025713516224100844
38,-0.057597649961209745
39,0.13849145939826207
40,-0.005136057336657566
41,0.0376751865182021
42,-0.0035175524965389148
43,0.12816084762254343
44,-0.02287678049848612
45,-0.05818479336571263
46,0.0063123575513193714
47,0.015301918328646401
48,-0.04461403028726329
49,0.020832080568302953
50,-0.05668625663208792
51,0.09483975934444977
52,0.0881674094427301
53,0.016795224007294163
54,0.03989900756646545
55,-0.01153038426397554
56,-0.023813727242923376
57,0.00035562112117958457
58,-0.03383147886148888
59,0.10021243617373728
60,0.06566615137567473
61,0.006692175689143201
62,-0.018259572628152327
63,0.01933032126099031
64,-0.06852440012782507
65,-0.15931132011120955
66,-0.12496458531823885
67,-0.05897961202824781
68,-0.007865420596979728
69,0.05511906766861357
70,0.05294044753184668
71,-0.02925189978885867
72,-0.043923930850941234
73,-0.031119668815761264
74,0.06003949580405233
75,0.13427962606814878
76,-0.020078236702657324
77,-0.08036752313663872
78,-0.05162164893092989
79,-0.016365946873230265
80,-0.031301292774179174
81,0.23704561267263577
82,-0.0942629985307378
83,0.02566659880115194
84,-0.02094758339324649
85,-0.02283959731858283
86,-0.05541998343148501
87,0.06677967768719188
88,-0.003870227571656233
89,0.09767619000802917
90,-0.005381586818810689
91,0.02654896214295696
92,0.06696210266920036
93,0.038895784186360194
94,-0.05051138739100324
95,-0.0026395056099272687
96,0.025774005766376954
97,0.03492071361562296
98,0.06902120981229246
99,-0.018015317590244963
100,-0.01962802512235492
